articleNo,tradeTypeName,price,area1,floorInfo,direction,realEstateTypeName,latitude,longitude
2513903676,월세,N/A,176,1/37,남향,아파트,37.292252,127.056021
2513903507,전세,N/A,176,1/37,남향,아파트,37.292252,127.056021
2513736302,매매,N/A,149,6/26,남동향,아파트,37.290995,127.052247
2513717916,매매,N/A,156,18/39,남서향,아파트,37.291356,127.054296
2513735943,매매,N/A,155,9/37,남서향,아파트,37.292252,127.056021
2513602135,매매,N/A,156,21/37,남서향,아파트,37.292754,127.053376
2513736451,매매,N/A,149,9/28,남동향,아파트,37.292956,127.0552
2513736973,매매,N/A,130,1/10,남동향,아파트,37.292304,127.052308
2513734640,매매,N/A,156,18/39,남서향,아파트,37.291356,127.054296
2513736133,매매,N/A,156,21/37,남서향,아파트,37.292754,127.053376
2513602330,월세,N/A,155,9/34,남서향,아파트,37.290552,127.055746
2513734811,매매,N/A,149,14/35,남동향,아파트,37.291085,127.053374
2513734414,매매,N/A,149,19/34,남동향,아파트,37.290552,127.055746
2513716634,매매,N/A,149,14/35,남동향,아파트,37.291085,127.053374
2513735105,매매,N/A,149,18/18,남동향,아파트,37.291422,127.053776
2513718261,매매,N/A,156,21/37,남서향,아파트,37.292754,127.053376
2513734591,매매,N/A,155,31/37,남서향,아파트,37.292252,127.056021
2513735101,매매,N/A,156,13/37,남서향,아파트,37.292252,127.056021
2513718587,전세,N/A,136,1/37,남서향,아파트,37.291251,127.055841
2513734799,매매,N/A,149,11/21,남동향,아파트,37.29125,127.052582
2513599736,월세,N/A,136,1/37,남서향,아파트,37.291251,127.055841
2513599044,월세,N/A,176,1/37,남향,아파트,37.292252,127.056021
2513578464,전세,N/A,176,1/37,남동향,아파트,37.292252,127.056021
2513585794,월세,N/A,136,1/37,남서향,아파트,37.291251,127.055841
2513583183,매매,N/A,155,22/39,남동향,아파트,37.291356,127.054296
2513584497,매매,N/A,176,20/37,남향,아파트,37.292252,127.056021
2513581265,매매,N/A,155,22/39,남동향,아파트,37.291356,127.054296
2513558408,전세,N/A,149,22/28,남동향,아파트,37.292956,127.0552
2513548268,전세,N/A,176,1/37,남향,아파트,37.292252,127.056021
2513600982,매매,N/A,156,18/39,남서향,아파트,37.291356,127.054296
2513557327,전세,N/A,136,1/37,남서향,아파트,37.291251,127.055841
2513587005,매매,N/A,149,14/35,남동향,아파트,37.291085,127.053374
2513600821,매매,N/A,149,6/26,남동향,아파트,37.290995,127.052247
2513577743,전세,N/A,136,1/37,남서향,아파트,37.291251,127.055841
2513588530,월세,N/A,149,22/28,남동향,아파트,37.292956,127.0552
2513556475,매매,N/A,149,9/28,남동향,아파트,37.292956,127.0552
2513586298,매매,N/A,130,1/10,남동향,아파트,37.292304,127.052308
2513539452,월세,N/A,136,1/37,남서향,아파트,37.291251,127.055841
2513592814,매매,N/A,130,1/10,남동향,아파트,37.292304,127.052308
2513594691,월세,N/A,149,22/28,남동향,아파트,37.292956,127.0552
2513533376,월세,N/A,149,22/28,남동향,아파트,37.292956,127.0552
2513527247,전세,N/A,136,1/37,남서향,아파트,37.291251,127.055841
2513515892,전세,N/A,149,22/28,남동향,아파트,37.292956,127.0552
2513517870,월세,N/A,149,22/28,남동향,아파트,37.292956,127.0552
2513521184,월세,N/A,136,1/37,남서향,아파트,37.291251,127.055841
2513516512,전세,N/A,155,32/37,남동향,아파트,37.292754,127.053376
2513515624,전세,N/A,176,1/37,남향,아파트,37.292252,127.056021
2513514596,전세,N/A,176,1/37,남향,아파트,37.292252,127.056021
2513515444,전세,N/A,155,32/37,남동향,아파트,37.292754,127.053376
2513524178,매매,N/A,176,1/15,남향,아파트,37.291517,127.056673
2513514692,전세,N/A,136,1/37,남서향,아파트,37.291251,127.055841
2513515999,전세,N/A,149,22/28,남동향,아파트,37.292956,127.0552
2513583210,매매,N/A,149,14/35,남동향,아파트,37.291085,127.053374
2513427345,매매,N/A,149,14/35,남동향,아파트,37.291085,127.053374
2512836945,매매,N/A,156,21/37,남서향,아파트,37.292754,127.053376
2512837279,매매,N/A,156,18/39,남서향,아파트,37.291356,127.054296
2512837503,매매,N/A,149,6/26,남동향,아파트,37.290995,127.052247
2513063828,매매,N/A,155,22/39,남동향,아파트,37.291356,127.054296
2513064199,매매,N/A,149,14/35,남동향,아파트,37.291085,127.053374
2513110320,매매,N/A,149,14/35,남동향,아파트,37.291085,127.053374
2512725823,전세,N/A,155,32/37,남동향,아파트,37.292754,127.053376
2512822604,매매,N/A,176,20/37,남향,아파트,37.292252,127.056021
2512821384,매매,N/A,149,14/35,남동향,아파트,37.291085,127.053374
2512801509,매매,N/A,176,1/15,남향,아파트,37.291517,127.056673
2512787711,매매,N/A,129,15/15,남서향,아파트,37.290959,127.056661
2512836036,매매,N/A,156,2/37,남서향,아파트,37.292754,127.053376
2512778827,월세,N/A,136,1/37,남서향,아파트,37.291251,127.055841
2512787687,매매,N/A,149,19/34,남동향,아파트,37.290552,127.055746
2512796456,매매,N/A,176,20/37,남향,아파트,37.292252,127.056021
2512787697,매매,N/A,136,33/38,남동향,아파트,37.291288,127.055074
2512731700,매매,N/A,155,22/39,남동향,아파트,37.291356,127.054296
2513735542,매매,N/A,137,중/38,남서향,아파트,37.291288,127.055074
2513735116,매매,N/A,149,중/28,남동향,아파트,37.292956,127.0552
2513735089,매매,N/A,136,중/38,남동향,아파트,37.291288,127.055074
2513735718,매매,N/A,129,고/15,남서향,아파트,37.290959,127.056661
2513735762,매매,N/A,129,고/15,남서향,아파트,37.290959,127.056661
2513736115,매매,N/A,131,고/36,남동향,아파트,37.291922,127.052145
2513736682,매매,N/A,156,저/37,남서향,아파트,37.292754,127.053376
2513736957,매매,N/A,129,중/36,남동향,아파트,37.291922,127.052145
2513734818,매매,N/A,149,중/21,남동향,아파트,37.29125,127.052582
2513731196,매매,N/A,136,고/37,남서향,아파트,37.291251,127.055841
2513730537,매매,N/A,136,중/38,남동향,아파트,37.291288,127.055074
2513734030,매매,N/A,129,고/15,남서향,아파트,37.290959,127.056661
2513730904,매매,N/A,131,중/15,남서향,아파트,37.290959,127.056661
2513733986,매매,N/A,155,중/39,남서향,아파트,37.29214,127.054522
2513731440,매매,N/A,137,저/38,남서향,아파트,37.291288,127.055074
2513734218,매매,N/A,156,저/39,남서향,아파트,37.29214,127.054522
2513729830,매매,N/A,131,저/15,남동향,아파트,37.290959,127.056661
2513734416,매매,N/A,156,고/34,남서향,아파트,37.290552,127.055746
2513734189,매매,N/A,149,저/34,남동향,아파트,37.290552,127.055746
2513730058,매매,N/A,131,저/36,남동향,아파트,37.291922,127.052145
2513729559,매매,N/A,136,중/37,남서향,아파트,37.291251,127.055841
2513729293,매매,N/A,131,저/23,남서향,아파트,37.291859,127.053184
2513734404,매매,N/A,149,저/21,남동향,아파트,37.29125,127.052582
2513734233,매매,N/A,155,고/34,남서향,아파트,37.290552,127.055746
2513733591,매매,N/A,155,저/37,남동향,아파트,37.292754,127.053376
2513734216,매매,N/A,156,중/39,남동향,아파트,37.291356,127.054296
2513697499,매매,N/A,137,중/38,남서향,아파트,37.291288,127.055074
2513731648,매매,N/A,129,저/36,남동향,아파트,37.291922,127.052145
